iter	Passed	Remaining
932	1757	126
933	1759	124
934	1760	122
935	1762	120
936	1764	118
937	1765	116
938	1767	114
939	1769	112
940	1770	111
941	1772	109
942	1774	107
943	1776	105
944	1777	103
945	1779	101
946	1780	99
947	1782	97
948	1783	95
949	1785	93
950	1787	92
951	1788	90
952	1790	88
953	1791	86
954	1793	84
955	1794	82
956	1796	80
957	1797	78
958	1799	76
959	1801	75
960	1802	73
961	1803	71
962	1805	69
963	1807	67
964	1808	65
965	1810	63
966	1812	61
967	1813	59
968	1815	58
969	1817	56
970	1818	54
971	1820	52
972	1821	50
973	1823	48
974	1825	46
975	1826	44
976	1828	43
977	1829	41
978	1831	39
979	1832	37
980	1834	35
981	1836	33
982	1837	31
983	1839	29
984	1840	28
985	1842	26
986	1843	24
987	1845	22
988	1846	20
989	1848	18
990	1850	16
991	1851	14
992	1853	13
993	1855	11
994	1856	9
995	1858	7
996	1859	5
997	1861	3
998	1862	1
999	1864	0
